wavelength,cc_01 ,cc_02,cc_03 ,cc_04 ,cc_05 ,cc_06 ,cc_07 ,cc_08 ,cc_09 ,cc_10 ,cc_11 ,cc_12 ,cc_13 ,cc_14 ,cc_15 ,cc_16 ,cc_17 ,cc_18 ,cc_19 ,cc_20 ,cc_21 ,cc_22 ,cc_23 ,cc_24 
440,0.87127427,0.600962752,0.38134517,0.208826317,0.111179836,0.05231641,0.275928372,0.078453041,0.058749012,0.067017394,0.316755359,0.324466805,0.071117679,0.385661806,0.140798179,0.154617936,0.086975304,0.078631036,0.080229266,0.209336454,0.318752393,0.073883772,0.409800235,0.364515674
480,0.891997383,0.598463571,0.37652578,0.203799764,0.107494727,0.050998302,0.205527411,0.14565631,0.063709159,0.169386873,0.228832291,0.369058194,0.097904834,0.291202811,0.128630921,0.116726731,0.188211937,0.121045301,0.084709902,0.257006007,0.287158111,0.097132176,0.35309307,0.464071763
528,0.916169742,0.598477422,0.374188225,0.201092587,0.104167372,0.049671334,0.06498844,0.333207055,0.061870531,0.535614236,0.106253577,0.282067699,0.152955222,0.124449844,0.101571292,0.065634788,0.509194049,0.282891921,0.092460031,0.274606462,0.20058628,0.167365633,0.232068761,0.539890512
544,0.915395661,0.595807136,0.372291074,0.200412428,0.10321635,0.049332683,0.079712873,0.243065523,0.081203045,0.531414495,0.148001789,0.232502632,0.236995164,0.135517664,0.135978432,0.072352864,0.429638888,0.35213966,0.103030428,0.296058378,0.196490675,0.145117122,0.231126548,0.456276132
605,0.924580325,0.58775345,0.365691621,0.197562614,0.099518673,0.048277988,0.049594113,0.115205434,0.216903406,0.709496819,0.353049856,0.087635471,0.579885182,0.091328225,0.420934252,0.086026902,0.345089164,0.615622477,0.154298988,0.480558226,0.1446207,0.120817921,0.21159846,0.240607261
630.5,0.924317436,0.580893069,0.357371607,0.191219769,0.0975588,0.04896151,0.056873013,0.10804149,0.464129602,0.706513255,0.538607716,0.095265699,0.578430616,0.109424029,0.52040678,0.151745345,0.316426952,0.611575662,0.160994256,0.525125839,0.151022437,0.120562522,0.310645544,0.211766264
677,0.927371235,0.571574434,0.346684152,0.18429525,0.096696727,0.0519657,0.059750846,0.104380298,0.654089245,0.736807302,0.774532707,0.08701043,0.613105331,0.150885921,0.597096457,0.246620587,0.315886892,0.644508076,0.173607568,0.605252596,0.165179649,0.12341833,0.426922922,0.180469552
754,0.92773863,0.57704694,0.361242622,0.214975413,0.142104285,0.105401166,0.192863603,0.180076243,0.701920901,0.762623556,0.838499611,0.183676091,0.633554188,0.513941263,0.607647239,0.398132273,0.404585962,0.67170398,0.226455101,0.718285851,0.316895498,0.183382865,0.635504218,0.29588108
800,0.926220537,0.576031958,0.362213542,0.22282006,0.156677822,0.123302597,0.515125029,0.232142536,0.711842664,0.771165195,0.842544981,0.28754217,0.633074036,0.578450259,0.609273325,0.423580605,0.46202562,0.674933573,0.239277337,0.725047114,0.451583042,0.210568188,0.75383203,0.481623899
866,0.922822699,0.573688452,0.361153914,0.230039436,0.171478309,0.141475268,0.747831035,0.578569048,0.717012987,0.777931341,0.842293465,0.456953129,0.632704709,0.619139053,0.610717846,0.448952595,0.609951085,0.679578638,0.248107091,0.727776617,0.459818394,0.239777527,0.779187923,0.78805576
910,0.920576922,0.572340889,0.360156571,0.234003965,0.179471457,0.15121952,0.789159326,0.707924439,0.720835431,0.782116025,0.842701644,0.494332629,0.636511604,0.650716269,0.611484149,0.463830573,0.632571419,0.686355018,0.25643676,0.729982378,0.460741973,0.248043721,0.784488253,0.825706511
939,0.92002761,0.571485355,0.35936484,0.236158054,0.183834119,0.156577459,0.803660968,0.741564125,0.724252742,0.785293201,0.844218166,0.509249441,0.640105565,0.672493189,0.61188509,0.473147607,0.638775941,0.691828292,0.262521152,0.7314189,0.462893624,0.251995575,0.787817141,0.833927185
978,0.918425485,0.570381531,0.357707032,0.23786468,0.188082256,0.161958982,0.821993189,0.770839343,0.728488529,0.788627672,0.845104161,0.52300349,0.644706975,0.698347473,0.61228187,0.484047441,0.64479119,0.698336126,0.269410361,0.732657575,0.465368998,0.25606193,0.791611944,0.840234283
1022,0.916351784,0.568752882,0.35484519,0.237300984,0.189500689,0.164014234,0.827703822,0.779126284,0.731461779,0.790492483,0.845902851,0.522499596,0.646564671,0.713932746,0.61162549,0.49051496,0.647100638,0.701224635,0.272248169,0.733116607,0.465596008,0.257645673,0.793150049,0.840724696
