cc_01 ,cc_02,cc_03 ,cc_04 ,cc_05 ,cc_06 ,cc_07 ,cc_08 ,cc_09 ,cc_10 ,cc_11 ,cc_12 ,cc_13 ,cc_14 ,cc_15 ,cc_16 ,cc_17 ,cc_18 ,cc_19 ,cc_20 ,cc_21 ,cc_22 ,cc_23 ,cc_24 
0.138126448,0.116850026,0.106367208,0.095986344,0.082580768,0.068713501,0.085171133,0.084412389,0.087664679,0.095980316,0.107700698,0.093904205,0.090589009,0.100800477,0.10505309,0.091892764,0.089727871,0.097029611,0.079437733,0.11139711,0.098445907,0.078454956,0.107229963,0.106240466
0.137200028,0.11637532,0.106988631,0.09642861,0.083828121,0.068959408,0.084764242,0.082065538,0.088265434,0.095337413,0.107048735,0.092642486,0.090359025,0.100688033,0.104586422,0.093082003,0.090620555,0.096478604,0.079755977,0.110809863,0.09822768,0.078193933,0.10793718,0.105440855
0.136300609,0.117270716,0.107033677,0.097956434,0.086214095,0.070107676,0.085219286,0.082100399,0.089495175,0.09514077,0.10698431,0.09348949,0.091341548,0.101299353,0.105397135,0.095557801,0.091196261,0.097664408,0.0824515,0.111105524,0.09890987,0.077946581,0.108472034,0.104813047
0.13633126,0.118036062,0.105479077,0.099105015,0.087508969,0.070093542,0.083322234,0.084816128,0.087794229,0.096189521,0.107801937,0.095694833,0.091764987,0.101464711,0.106040776,0.096120276,0.090085715,0.099226549,0.084217377,0.111209139,0.100194514,0.079972558,0.107245423,0.104266167
0.131793231,0.114249066,0.102659538,0.09489762,0.082640603,0.065637834,0.080537692,0.080705017,0.083164997,0.090151213,0.104048483,0.093312114,0.087859891,0.097460873,0.102894284,0.092453331,0.084989503,0.095612369,0.080826722,0.105720893,0.096036628,0.076324418,0.103428558,0.101670064
0.128397837,0.112084612,0.101796433,0.093663327,0.079922847,0.063294969,0.079329409,0.078398041,0.079433255,0.086237602,0.101357765,0.091112666,0.08376947,0.096018925,0.100863688,0.091719307,0.082871817,0.091496237,0.078650184,0.104290478,0.092992276,0.074046761,0.100500472,0.099867463
0.128238484,0.113194197,0.103643857,0.095552891,0.081154108,0.064513534,0.079855718,0.079053238,0.078804344,0.086334445,0.102302708,0.091211349,0.082570322,0.097639002,0.101161867,0.0939034,0.083900452,0.089883409,0.07904759,0.107144199,0.093981124,0.075375378,0.10064932,0.100849368
0.130296499,0.115745015,0.106719919,0.096058898,0.083567441,0.066913776,0.080539465,0.079193592,0.081219316,0.087371536,0.106284119,0.093215995,0.085203528,0.098897263,0.102293402,0.094821557,0.084240347,0.091477737,0.079924479,0.10887225,0.098298945,0.078575172,0.104047224,0.104777165
0.127177522,0.112903453,0.103821881,0.09403041,0.080870904,0.063025862,0.07681936,0.075522199,0.077050678,0.08387617,0.103432514,0.090370171,0.0813151,0.095694177,0.099485204,0.092152297,0.081636533,0.087012932,0.07611867,0.105408043,0.094704092,0.074117884,0.101265304,0.101430863
0.126440853,0.112123929,0.103044339,0.094303764,0.079924658,0.061944753,0.076785028,0.075898722,0.076239623,0.08297611,0.102515869,0.09042801,0.079511374,0.095486321,0.098669276,0.093284287,0.08107198,0.086098731,0.075738035,0.104053326,0.093357585,0.072005376,0.100951113,0.100615501
0.129417762,0.114896901,0.106250435,0.097202964,0.082399905,0.06519445,0.080475904,0.0802164,0.079992004,0.085223481,0.105330743,0.094047084,0.081853069,0.099132374,0.100884691,0.098112077,0.082697943,0.090155452,0.079511836,0.106314741,0.097078711,0.074930131,0.104896396,0.104169197
0.127147958,0.112854168,0.105020173,0.096434876,0.081350572,0.062081624,0.07569433,0.076541312,0.075348102,0.080771104,0.10183268,0.090572156,0.079075165,0.097326562,0.099280357,0.095509514,0.079262652,0.087282099,0.076763742,0.104500324,0.096101694,0.07329341,0.103492826,0.100620635
0.125380769,0.111350261,0.103264533,0.094146617,0.078357741,0.057715997,0.07205373,0.072553053,0.071099468,0.076179139,0.099873498,0.088860281,0.076213926,0.094483763,0.096645989,0.093087234,0.076409444,0.083586797,0.073348112,0.102432117,0.0937168,0.069904402,0.099844091,0.099107154
0.126727641,0.112715013,0.104400888,0.094131045,0.077786714,0.057486884,0.072461754,0.072120667,0.070816159,0.075722225,0.101363145,0.090718143,0.075673155,0.094814211,0.097007491,0.094824009,0.076918118,0.083183244,0.073394008,0.103059441,0.093805857,0.069627054,0.099542603,0.100740582
0.130954936,0.116812915,0.109126836,0.097917132,0.081541561,0.062557377,0.076153241,0.075510219,0.074223548,0.079736039,0.105191201,0.09462031,0.077599749,0.099448465,0.101485923,0.100732267,0.080428086,0.086762257,0.077554494,0.106876358,0.097813301,0.074000128,0.10479223,0.103857316
0.131854191,0.11868526,0.110302731,0.098778918,0.081692189,0.060822301,0.076999448,0.075097039,0.07366994,0.078532755,0.10599605,0.094713368,0.077228881,0.100290157,0.101253383,0.101818465,0.079371028,0.085983112,0.077300265,0.107628912,0.099227324,0.072367176,0.105410628,0.104989842
0.131735533,0.119398303,0.110702455,0.099467397,0.081332825,0.059408877,0.076079637,0.074375875,0.072175443,0.076833531,0.106766231,0.094665885,0.076431096,0.100042507,0.10056974,0.102128513,0.078135632,0.084383123,0.076232329,0.107727766,0.099396989,0.071358055,0.105347678,0.105247021
0.133056015,0.120865859,0.112279922,0.10136541,0.08232563,0.060351349,0.075906247,0.07498394,0.071972944,0.07671161,0.108724326,0.09592434,0.076659836,0.101272136,0.101934604,0.103982516,0.078399792,0.084338769,0.076479733,0.10886158,0.100469328,0.072523519,0.10693419,0.106307618
0.137413949,0.12471243,0.115806177,0.104407169,0.084999382,0.062099095,0.078765698,0.076802358,0.073950082,0.078043491,0.111583836,0.098175071,0.078424841,0.105411574,0.105811156,0.107857734,0.079753026,0.086654432,0.07856553,0.11163865,0.104180574,0.074008659,0.110705204,0.10949257
0.138992831,0.125882521,0.117023148,0.103935286,0.083681144,0.06127594,0.077541426,0.075259537,0.072359033,0.077137925,0.112250678,0.09880162,0.076781534,0.105479546,0.105776086,0.108589947,0.079508327,0.085764915,0.077944778,0.111844018,0.104917973,0.073346429,0.11139819,0.110339865
0.140579373,0.127077788,0.118125275,0.103999957,0.082725927,0.059667584,0.076351687,0.074074298,0.070620351,0.075986817,0.113088697,0.099441536,0.07511162,0.1060647,0.105053946,0.109007828,0.078776121,0.084804244,0.07679376,0.111783557,0.105047256,0.072528601,0.111843012,0.111384347
0.143323287,0.129545152,0.120285042,0.106264047,0.084068343,0.058483772,0.077213898,0.074672319,0.070367098,0.075608164,0.115131311,0.100826651,0.075142533,0.108812511,0.10582798,0.110682316,0.078410514,0.085263506,0.076412141,0.11285907,0.106277294,0.072492033,0.113533884,0.113477238
0.14456819,0.131122142,0.122128092,0.107541732,0.084466845,0.057065587,0.077235088,0.073750459,0.069046929,0.074598595,0.116581239,0.101646118,0.074783295,0.109185003,0.10711398,0.112024188,0.078189977,0.084736429,0.075595513,0.114076115,0.108036146,0.071836427,0.11467991,0.113827311
